Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Peanut Chikki,"Peanuts, Jaggery",Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Shrimp, Eggs",High Risk,"⚠️ High Risk: Contains Shrimp, Eggs. Avoid if allergic!","Chia Seeds, Flaxseeds"
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Vegetables, Rice, Schezwan Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Rice, Schezwan Sauce. Avoid if allergic!",
Chicken 65,"Chicken, Cornflour, Spices","Spices, Chicken",High Risk,"⚠️ High Risk: Contains Spices, Chicken. Avoid if allergic!",
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Soy Sauce, Vegetables, Garlic",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables, Garlic. Avoid if allergic!",
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Peanuts, Soy Sauce",High Risk,"⚠️ High Risk: Contains Peanuts, Soy Sauce. Avoid if allergic!","Sunflower Butter, Almond Butter"
Tandoori Chicken,"Chicken, Yogurt, Spices",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Hoisin Sauce,Medium Risk,⚠️ Medium Risk: Contains Hoisin Sauce. Avoid if allergic!,
Palak Paneer,"Spinach, Paneer, Cream",Spinach,Medium Risk,⚠️ Medium Risk: Contains Spinach. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes","Potatoes, Rice",High Risk,"⚠️ High Risk: Contains Potatoes, Rice. Avoid if allergic!",
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Vegetables, Schezwan Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Schezwan Sauce. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Sichuan Pepper, Soy Sauce",High Risk,"⚠️ High Risk: Contains Sichuan Pepper, Soy Sauce. Avoid if allergic!",
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Tofu, Vegetables",High Risk,"⚠️ High Risk: Contains Tofu, Vegetables. Avoid if allergic!",
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Vegetables, Schezwan Sauce, Rice",High Risk,"⚠️ High Risk: Contains Vegetables, Schezwan Sauce, Rice. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Vegetables, Lentils, Rice",High Risk,"⚠️ High Risk: Contains Vegetables, Lentils, Rice. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream","Paneer, Cream",High Risk,"⚠️ High Risk: Contains Paneer, Cream. Avoid if allergic!",
Momos,"Wheat, Vegetables, Chicken","Vegetables, Chicken",High Risk,"⚠️ High Risk: Contains Vegetables, Chicken. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Spices",High Risk,"⚠️ High Risk: Contains Yogurt, Spices. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices","Paneer, Yogurt",High Risk,"⚠️ High Risk: Contains Paneer, Yogurt. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Soy Sauce, Sichuan Pepper, Tofu",High Risk,"⚠️ High Risk: Contains Soy Sauce, Sichuan Pepper, Tofu. Avoid if allergic!",
Masala Dosa,"Rice, Lentils, Potatoes","Lentils, Rice, Potatoes",High Risk,"⚠️ High Risk: Contains Lentils, Rice, Potatoes. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Capsicum, Paneer, Soy Sauce",High Risk,"⚠️ High Risk: Contains Capsicum, Paneer, Soy Sauce. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast","Wheat, Butter",High Risk,"⚠️ High Risk: Contains Wheat, Butter. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Rajma Chawal,"Kidney Beans, Rice, Spices","Kidney Beans, Rice",High Risk,"⚠️ High Risk: Contains Kidney Beans, Rice. Avoid if allergic!",
Chicken 65,"Chicken, Cornflour, Spices",Cornflour,Medium Risk,⚠️ Medium Risk: Contains Cornflour. Avoid if allergic!,
Fish Curry,"Fish, Coconut, Spices","Fish, Coconut, Spices",High Risk,"⚠️ High Risk: Contains Fish, Coconut, Spices. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Wheat, Vegetables",High Risk,"⚠️ High Risk: Contains Wheat, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Aloo Paratha,"Wheat, Potatoes, Spices","Spices, Wheat, Potatoes",High Risk,"⚠️ High Risk: Contains Spices, Wheat, Potatoes. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Palak Paneer,"Spinach, Paneer, Cream",Spinach,Medium Risk,⚠️ Medium Risk: Contains Spinach. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices","Cream, Paneer, Spices",High Risk,"⚠️ High Risk: Contains Cream, Paneer, Spices. Avoid if allergic!",
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Onions, Garlic",High Risk,"⚠️ High Risk: Contains Onions, Garlic. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Bread, Butter",High Risk,"⚠️ High Risk: Contains Bread, Butter. Avoid if allergic!",
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Sichuan Pepper, Beef",High Risk,"⚠️ High Risk: Contains Sichuan Pepper, Beef. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Soy Sauce, Hoisin Sauce, Duck",High Risk,"⚠️ High Risk: Contains Soy Sauce, Hoisin Sauce, Duck. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Bread, Butter",High Risk,"⚠️ High Risk: Contains Bread, Butter. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt","Chickpea Flour, Yogurt",High Risk,"⚠️ High Risk: Contains Chickpea Flour, Yogurt. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Rasgulla,"Milk, Sugar",Sugar,Medium Risk,⚠️ Medium Risk: Contains Sugar. Avoid if allergic!,
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Capsicum, Soy Sauce",High Risk,"⚠️ High Risk: Contains Capsicum, Soy Sauce. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices","Paneer, Yogurt",High Risk,"⚠️ High Risk: Contains Paneer, Yogurt. Avoid if allergic!",
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Tomatoes, Lentils",High Risk,"⚠️ High Risk: Contains Tomatoes, Lentils. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt","Chickpea Flour, Yogurt",High Risk,"⚠️ High Risk: Contains Chickpea Flour, Yogurt. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Vegetables, Bread",High Risk,"⚠️ High Risk: Contains Vegetables, Bread. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Shrimp,Medium Risk,⚠️ Medium Risk: Contains Shrimp. Avoid if allergic!,
Chow Mein,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chow Mein,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables. Avoid if allergic!",
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper",Sichuan Pepper,Medium Risk,⚠️ Medium Risk: Contains Sichuan Pepper. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Garlic, Soy Sauce",High Risk,"⚠️ High Risk: Contains Garlic, Soy Sauce. Avoid if allergic!",
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes","Potatoes, Rice",High Risk,"⚠️ High Risk: Contains Potatoes, Rice. Avoid if allergic!",
Aloo Paratha,"Wheat, Potatoes, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Peanuts, Chicken",High Risk,"⚠️ High Risk: Contains Peanuts, Chicken. Avoid if allergic!","Sunflower Butter, Almond Butter"
Chow Mein,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Rasgulla,"Milk, Sugar","Milk, Sugar",High Risk,"⚠️ High Risk: Contains Milk, Sugar. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Idli Sambar,"Rice, Lentils, Vegetables","Vegetables, Rice, Lentils",High Risk,"⚠️ High Risk: Contains Vegetables, Rice, Lentils. Avoid if allergic!",
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Garlic, Cornflour, Cauliflower",High Risk,"⚠️ High Risk: Contains Garlic, Cornflour, Cauliflower. Avoid if allergic!",
Masala Dosa,"Rice, Lentils, Potatoes",Potatoes,Medium Risk,⚠️ Medium Risk: Contains Potatoes. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices",Cream,Medium Risk,⚠️ Medium Risk: Contains Cream. Avoid if allergic!,
Chicken 65,"Chicken, Cornflour, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt","Chickpea Flour, Yogurt",High Risk,"⚠️ High Risk: Contains Chickpea Flour, Yogurt. Avoid if allergic!",
