Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Chow Mein,"Milk, Wheat","Milk, Wheat",High Risk,"⚠️ High Risk: Contains Milk, Wheat. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Aloo Paratha,"Gluten, Shellfish","Gluten, Shellfish",High Risk,"⚠️ High Risk: Contains Gluten, Shellfish. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Mushrooms, Tofu"
Gobi Manchurian,"Tree Nuts, Shellfish, Milk","Tree Nuts, Shellfish, Milk",High Risk,"⚠️ High Risk: Contains Tree Nuts, Shellfish, Milk. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk"
Dal Tadka,"Soy, Shellfish, Gluten","Soy, Shellfish, Gluten",High Risk,"⚠️ High Risk: Contains Soy, Shellfish, Gluten. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper"
Gobi Manchurian,"Wheat, Peanuts","Wheat, Peanuts",High Risk,"⚠️ High Risk: Contains Wheat, Peanuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Sunflower Butter, Almond Butter"
Chow Mein,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Fish Curry,"Peanuts, Soy","Peanuts, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Coconut Aminos, Tamari Sauce"
Peanut Chikki,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Palak Paneer,"Soy, Shellfish","Soy, Shellfish",High Risk,"⚠️ High Risk: Contains Soy, Shellfish. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Mushrooms, Tofu"
Mapo Tofu,"Milk, Peanuts","Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Idli Sambar,"Milk, Gluten, Soy","Milk, Gluten, Soy",High Risk,"⚠️ High Risk: Contains Milk, Gluten, Soy. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce"
Dal Tadka,"Wheat, Milk, Soy","Wheat, Milk, Soy",High Risk,"⚠️ High Risk: Contains Wheat, Milk, Soy. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Almond Milk, Cashew Cream, Soy Milk, Coconut Aminos, Tamari Sauce"
Mapo Tofu,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Dal Tadka,"Shellfish, Eggs, Soy","Shellfish, Eggs, Soy",High Risk,"⚠️ High Risk: Contains Shellfish, Eggs, Soy. Avoid if allergic!","Mushrooms, Tofu, Chia Seeds, Flaxseeds, Coconut Aminos, Tamari Sauce"
Aloo Paratha,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
